player,value,nationality,position,club,birth_date,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Season,player_lower,firstname_lower,lastname_lower,firstinitial_lower,position_cleaned
Kylian Mbappé,162000000.0,France,Centre-Forward,Paris S-G,1998-12-20,21,20.0,17.0,1513.0,18.0,5.0,0.0,0.0,0.0,0.0,1.07,0.3,1.37,1.07,1.37,17.0,17.0,8.5,1.01,0.51,1.52,1.01,1.52,16.8,88.0,49.0,0.0,55.7,5.23,2.91,0.2,0.37,0.2,1.0,1.0,515.0,671.0,76.8,7497.0,1831.0,14.0,40.0,35.0,440.0,546.0,80.6,61.0,85.0,71.8,-3.5,38.0,23.0,26.0,7.0,67.0,636.0,35.0,2.0,4.0,120.0,11.0,44.0,14.0,0.0,1.0,0.0,516.0,88.0,67.0,126.0,524.0,2.0,9.0,7.0,2.0,10.0,21.0,28.0,91.0,5.41,60.0,2.0,19.0,6.0,4.0,12.0,0.71,9.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,9.0,11.1,8.0,137.0,40.0,29.2,12.0,48.0,77.0,8.0,3.0,0.0,5.0,2.0,1.0,0.0,937.0,2.0,24.0,344.0,647.0,208.0,904.0,59.0,115.0,51.3,70.0,4.0,777.0,5887.0,4153.0,1040.0,813.0,78.2,44.0,43.0,0.0,11.0,22.0,18.0,1.0,0.0,0.0,69.0,4.0,4.0,50.0,19/20,kylian mbappe,kylian,mbappe,k,Forward
Kylian Mbappé,162000000.0,France,Centre-Forward,Paris S-G,1998-12-20,21,29.0,24.0,2343.0,33.0,7.0,1.0,2.0,5.0,1.0,1.27,0.27,1.54,1.23,1.5,27.2,25.7,5.5,1.05,0.21,1.26,0.99,1.2,26.0,121.0,65.0,1.0,53.7,4.65,2.5,0.26,0.49,0.21,5.8,6.3,637.0,823.0,77.4,9517.0,2275.0,14.0,39.0,35.9,554.0,691.0,80.2,69.0,93.0,74.2,1.5,44.0,47.0,48.0,8.0,85.0,783.0,40.0,3.0,12.0,176.0,13.0,25.0,6.0,0.0,0.0,0.0,658.0,100.0,65.0,141.0,668.0,5.0,5.0,3.0,4.0,11.0,24.0,34.0,110.0,4.23,70.0,1.0,16.0,10.0,13.0,22.0,0.85,12.0,0.0,3.0,3.0,4.0,0.0,7.0,4.0,2.0,2.0,3.0,1.0,9.0,11.1,8.0,281.0,58.0,20.6,17.0,120.0,144.0,6.0,3.0,0.0,3.0,5.0,2.0,0.0,1183.0,0.0,23.0,449.0,804.0,240.0,1142.0,73.0,132.0,55.3,82.0,4.0,969.0,6769.0,4291.0,1449.0,1022.0,70.5,59.0,49.0,0.0,19.0,44.0,30.0,4.0,0.0,0.0,80.0,2.0,5.0,28.6,18/19,kylian mbappe,kylian,mbappe,k,Forward
Kylian Mbappé,162000000.0,France,Centre-Forward,Paris S-G,1998-12-20,21,27.0,24.0,2095.0,13.0,9.0,0.0,0.0,2.0,0.0,0.56,0.39,0.95,0.56,0.95,14.5,14.5,7.8,0.62,0.33,0.96,0.62,0.96,23.3,81.0,32.0,0.0,39.5,3.48,1.37,0.16,0.41,0.18,-1.5,-1.5,558.0,701.0,79.6,8087.0,1794.0,25.0,51.0,49.0,476.0,565.0,84.2,57.0,85.0,67.1,1.2,51.0,36.0,33.0,9.0,63.0,674.0,27.0,2.0,1.0,144.0,12.0,42.0,4.0,0.0,0.0,0.0,578.0,38.0,85.0,108.0,573.0,8.0,11.0,0.0,3.0,9.0,18.0,30.0,98.0,4.21,66.0,0.0,14.0,5.0,13.0,14.0,0.6,8.0,0.0,2.0,3.0,1.0,0.0,8.0,4.0,2.0,3.0,3.0,3.0,10.0,30.0,7.0,190.0,67.0,35.3,28.0,59.0,103.0,6.0,2.0,0.0,4.0,0.0,0.0,0.0,1014.0,3.0,46.0,365.0,698.0,208.0,990.0,65.0,118.0,55.1,70.0,5.0,854.0,6615.0,4067.0,1089.0,840.0,77.1,60.0,61.0,0.0,9.0,37.0,23.0,1.0,0.0,0.0,98.0,1.0,4.0,20.0,17/18,kylian mbappe,kylian,mbappe,k,Forward
Kylian Mbappé,162000000.0,France,Centre-Forward,Monaco,1998-12-20,21,1.0,1.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.8,3.0,2.0,0.0,66.7,3.65,2.43,0.0,0.0,0.06,-0.2,-0.2,19.0,31.0,61.3,306.0,44.0,0.0,3.0,0.0,16.0,21.0,76.2,3.0,7.0,42.9,0.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,5.0,4.0,4.0,26.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,3.6,2.0,0.0,0.0,0.0,1.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1.0,17.0,28.0,11.0,43.0,4.0,7.0,57.1,6.0,0.0,44.0,342.0,256.0,52.0,38.0,73.1,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17/18,kylian mbappe,kylian,mbappe,k,Forward
Neymar,115200000.0,Brazil,Left Winger,Paris S-G,1992-02-05,28,15.0,15.0,1318.0,13.0,6.0,4.0,5.0,4.0,1.0,0.89,0.41,1.3,0.61,1.02,12.7,8.9,5.9,0.87,0.4,1.27,0.61,1.01,14.6,64.0,31.0,10.0,48.4,4.37,2.12,0.14,0.29,0.14,0.3,0.1,759.0,961.0,79.0,12551.0,4478.0,30.0,53.0,56.6,598.0,691.0,86.5,131.0,217.0,60.4,0.1,39.0,110.0,71.0,6.0,168.0,872.0,89.0,24.0,17.0,202.0,29.0,53.0,49.0,20.0,10.0,2.0,687.0,128.0,146.0,130.0,793.0,10.0,15.0,11.0,4.0,16.0,24.0,24.0,96.0,6.56,61.0,7.0,13.0,3.0,11.0,17.0,1.16,13.0,0.0,2.0,0.0,1.0,1.0,14.0,7.0,3.0,8.0,3.0,5.0,27.0,18.5,22.0,170.0,49.0,28.8,16.0,88.0,66.0,10.0,0.0,0.0,10.0,4.0,1.0,0.0,1307.0,2.0,101.0,677.0,689.0,109.0,1223.0,86.0,151.0,57.0,94.0,5.0,1107.0,8390.0,5030.0,1239.0,1085.0,87.6,61.0,66.0,1.0,14.0,62.0,1.0,1.0,0.0,0.0,89.0,5.0,5.0,50.0,19/20,neymar,neymar,neymar,n,Midfielder
Neymar,115200000.0,Brazil,Left Winger,Paris S-G,1992-02-05,28,17.0,16.0,1439.0,15.0,7.0,5.0,5.0,2.0,0.0,0.94,0.44,1.38,0.63,1.06,11.2,7.4,5.3,0.7,0.33,1.03,0.46,0.79,16.0,51.0,21.0,10.0,41.2,3.19,1.31,0.2,0.48,0.15,3.8,2.6,829.0,1055.0,78.6,14286.0,5572.0,18.0,40.0,45.0,662.0,775.0,85.4,149.0,240.0,62.1,1.7,42.0,137.0,67.0,1.0,202.0,953.0,102.0,27.0,21.0,160.0,29.0,57.0,62.0,6.0,1.0,1.0,789.0,121.0,145.0,137.0,885.0,13.0,8.0,7.0,10.0,11.0,33.0,27.0,96.0,6.0,55.0,15.0,11.0,6.0,9.0,23.0,1.44,15.0,0.0,3.0,3.0,2.0,0.0,17.0,10.0,2.0,13.0,2.0,4.0,26.0,15.4,22.0,211.0,54.0,25.6,14.0,104.0,93.0,14.0,0.0,0.0,14.0,6.0,1.0,0.0,1389.0,2.0,91.0,758.0,697.0,117.0,1288.0,78.0,141.0,55.3,90.0,8.0,1167.0,8304.0,5120.0,1345.0,1142.0,84.9,65.0,72.0,0.0,13.0,58.0,7.0,2.0,0.0,0.0,90.0,5.0,2.0,71.4,18/19,neymar,neymar,neymar,n,Midfielder
Neymar,115200000.0,Brazil,Left Winger,Paris S-G,1992-02-05,28,20.0,20.0,1797.0,19.0,13.0,4.0,4.0,5.0,2.0,0.95,0.65,1.6,0.75,1.4,15.4,12.4,11.8,0.78,0.59,1.37,0.62,1.22,20.0,87.0,38.0,15.0,43.7,4.36,1.9,0.17,0.39,0.15,3.6,2.6,1072.0,1411.0,76.0,16916.0,6315.0,34.0,69.0,49.3,872.0,1052.0,82.9,166.0,290.0,57.2,1.2,74.0,130.0,83.0,4.0,225.0,1285.0,126.0,39.0,11.0,301.0,29.0,85.0,68.0,0.0,0.0,0.0,1111.0,68.0,232.0,177.0,1201.0,13.0,18.0,1.0,9.0,22.0,48.0,55.0,173.0,8.71,105.0,17.0,24.0,9.0,18.0,33.0,1.66,21.0,2.0,4.0,3.0,3.0,0.0,15.0,9.0,3.0,6.0,6.0,7.0,27.0,25.9,20.0,186.0,53.0,28.5,12.0,88.0,86.0,10.0,0.0,0.0,10.0,4.0,0.0,0.0,1793.0,0.0,96.0,872.0,1054.0,159.0,1676.0,118.0,189.0,62.4,127.0,12.0,1542.0,13357.0,7659.0,1654.0,1465.0,88.6,64.0,58.0,1.0,24.0,103.0,10.0,2.0,0.0,0.0,110.0,2.0,2.0,50.0,17/18,neymar,neymar,neymar,n,Forward
Raheem Sterling,115200000.0,England,Left Winger,Manchester City,1994-12-08,25,33.0,30.0,2651.0,20.0,1.0,0.0,2.0,5.0,0.0,0.68,0.03,0.71,0.68,0.71,17.3,15.3,7.1,0.59,0.24,0.83,0.52,0.76,29.5,96.0,36.0,1.0,37.5,3.26,1.22,0.21,0.56,0.16,2.7,4.7,983.0,1217.0,80.8,13848.0,2795.0,21.0,82.0,25.6,889.0,1025.0,86.7,73.0,110.0,66.4,-6.1,47.0,31.0,55.0,6.0,97.0,1197.0,20.0,1.0,4.0,290.0,4.0,50.0,1.0,0.0,0.0,0.0,965.0,150.0,102.0,133.0,1027.0,19.0,13.0,14.0,1.0,13.0,33.0,55.0,116.0,3.94,82.0,1.0,10.0,12.0,11.0,11.0,0.37,5.0,0.0,0.0,3.0,3.0,0.0,41.0,29.0,8.0,19.0,14.0,10.0,33.0,30.3,23.0,412.0,132.0,32.0,67.0,177.0,168.0,25.0,3.0,0.0,22.0,14.0,8.0,0.0,1635.0,12.0,92.0,572.0,1086.0,297.0,1615.0,59.0,128.0,46.1,67.0,3.0,1328.0,8796.0,5843.0,1688.0,1343.0,79.6,51.0,71.0,0.0,30.0,40.0,12.0,3.0,0.0,0.0,160.0,20.0,35.0,36.4,19/20,raheem sterling,raheem,sterling,r,Forward
Raheem Sterling,115200000.0,England,Left Winger,Manchester City,1994-12-08,25,34.0,31.0,2771.0,17.0,9.0,0.0,0.0,3.0,0.0,0.55,0.29,0.84,0.55,0.84,13.1,13.1,9.2,0.43,0.3,0.73,0.43,0.73,30.8,76.0,37.0,1.0,48.7,2.47,1.2,0.22,0.46,0.17,3.9,3.9,1099.0,1337.0,82.2,15362.0,3204.0,17.0,61.0,27.9,1026.0,1157.0,88.7,56.0,119.0,47.1,-0.2,58.0,22.0,52.0,5.0,100.0,1300.0,37.0,4.0,6.0,322.0,19.0,75.0,19.0,0.0,0.0,0.0,1097.0,115.0,125.0,147.0,1139.0,27.0,14.0,5.0,3.0,14.0,35.0,47.0,129.0,4.19,89.0,0.0,22.0,8.0,9.0,27.0,0.88,18.0,0.0,4.0,0.0,4.0,1.0,29.0,17.0,8.0,15.0,6.0,9.0,20.0,45.0,11.0,475.0,135.0,28.4,81.0,211.0,183.0,36.0,1.0,0.0,35.0,16.0,6.0,0.0,1765.0,5.0,77.0,569.0,1237.0,294.0,1729.0,86.0,142.0,60.6,91.0,7.0,1583.0,9550.0,5948.0,1848.0,1453.0,78.6,60.0,105.0,0.0,41.0,44.0,13.0,2.0,0.0,0.0,161.0,8.0,26.0,23.5,18/19,raheem sterling,raheem,sterling,r,Forward
Raheem Sterling,115200000.0,England,Left Winger,Manchester City,1994-12-08,25,33.0,29.0,2587.0,18.0,11.0,1.0,1.0,4.0,2.0,0.63,0.38,1.01,0.59,0.97,17.2,16.2,6.4,0.6,0.22,0.82,0.56,0.79,28.7,85.0,33.0,0.0,38.8,2.96,1.15,0.2,0.52,0.19,0.8,0.8,999.0,1205.0,82.9,13467.0,2885.0,39.0,81.0,48.1,901.0,1034.0,87.1,59.0,90.0,65.6,4.6,53.0,32.0,60.0,6.0,96.0,1188.0,17.0,1.0,4.0,265.0,11.0,42.0,5.0,1.0,0.0,0.0,1036.0,67.0,102.0,171.0,994.0,24.0,6.0,7.0,0.0,11.0,26.0,60.0,134.0,4.65,94.0,1.0,16.0,5.0,18.0,27.0,0.94,20.0,0.0,1.0,0.0,6.0,0.0,22.0,17.0,8.0,8.0,6.0,5.0,14.0,35.7,9.0,300.0,99.0,33.0,59.0,107.0,134.0,31.0,1.0,0.0,30.0,12.0,2.0,0.0,1603.0,11.0,96.0,503.0,1116.0,247.0,1587.0,46.0,90.0,51.1,52.0,1.0,1307.0,8057.0,4812.0,1650.0,1312.0,79.5,70.0,64.0,1.0,39.0,58.0,19.0,6.0,1.0,0.0,161.0,4.0,8.0,33.3,17/18,raheem sterling,raheem,sterling,r,Forward
