squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Augsburg,27.0,45.6,34.0,374.0,3060.0,41.0,30.0,4.0,4.0,0.0,0.0,1.21,0.88,2.09,1.09,1.97,45.0,42.0,31.1,1.32,0.91,2.24,1.23,2.15,34.0,34.0,3060.0,46.0,1.35,165.0,121.0,0.733,10.0,11.0,13.0,9.0,26.5,3.0,2.0,1.0,0.0,34.0,2.0,11.0,1.0,46.2,0.27,1.2,0.04,285.0,605.0,47.1,926.0,148.0,48.6,40.8,260.0,59.6,48.0,266.0,22.0,8.3,26.0,0.76,14.6,432.0,141.0,20.0,32.6,12.71,4.15,0.09,0.26,0.1,-4.0,-5.0,10179.0,14251.0,71.4,219096.0,88617.0,152.0,513.0,29.6,6916.0,8531.0,81.1,3111.0,5207.0,59.7,-3.1,312.0,856.0,263.0,110.0,1556.0,12529.0,1722.0,421.0,13.0,2533.0,508.0,750.0,174.0,45.0,52.0,13.0,7120.0,2708.0,4423.0,4161.0,7614.0,958.0,791.0,254.0,63.0,352.0,231.0,444.0,640.0,18.82,450.0,79.0,31.0,42.0,37.0,70.0,2.06,46.0,6.0,1.0,10.0,6.0,1.0,605.0,392.0,304.0,242.0,59.0,201.0,562.0,35.8,361.0,5319.0,1525.0,28.7,1700.0,2445.0,1174.0,513.0,111.0,2.0,402.0,517.0,931.0,10.0,18332.0,2085.0,6452.0,8426.0,4557.0,693.0,16651.0,251.0,419.0,59.9,282.0,16.0,10518.0,64422.0,33475.0,12522.0,10179.0,81.3,460.0,368.0,1.0,473.0,415.0,69.0,4.0,3.0,0.0,3550.0,639.0,663.0,49.1
Bayern Munich,28.0,65.9,34.0,374.0,3060.0,90.0,72.0,6.0,8.0,0.0,0.0,2.65,2.12,4.76,2.47,4.59,77.7,71.8,56.3,2.29,1.65,3.94,2.11,3.77,34.0,34.0,3060.0,28.0,0.82,93.0,69.0,0.71,27.0,3.0,4.0,16.0,47.1,5.0,1.0,4.0,0.0,34.0,1.0,2.0,3.0,28.0,0.27,3.0,0.09,158.0,387.0,40.8,909.0,156.0,35.2,34.1,153.0,43.8,41.5,188.0,14.0,7.4,29.0,0.85,16.8,599.0,222.0,22.0,37.1,17.62,6.53,0.14,0.38,0.12,12.3,12.2,20441.0,23840.0,85.7,398949.0,119150.0,228.0,534.0,42.7,15300.0,16835.0,90.9,4913.0,6471.0,75.9,13.7,462.0,1705.0,462.0,112.0,2035.0,22367.0,1473.0,404.0,60.0,3868.0,770.0,895.0,220.0,48.0,61.0,20.0,16852.0,3235.0,3753.0,6875.0,14915.0,851.0,639.0,256.0,60.0,304.0,287.0,389.0,970.0,28.53,756.0,78.0,42.0,45.0,48.0,159.0,4.68,129.0,7.0,8.0,7.0,7.0,1.0,523.0,343.0,241.0,207.0,75.0,185.0,478.0,38.7,293.0,4692.0,1626.0,34.7,1302.0,2114.0,1276.0,420.0,85.0,4.0,335.0,405.0,548.0,3.0,27560.0,1897.0,6645.0,14579.0,8073.0,1194.0,26139.0,342.0,529.0,64.7,363.0,15.0,20716.0,108964.0,58839.0,22679.0,20441.0,90.1,432.0,388.0,0.0,365.0,415.0,67.0,7.0,4.0,3.0,3384.0,477.0,400.0,54.4
Dortmund,30.0,59.0,34.0,374.0,3060.0,62.0,44.0,3.0,6.0,0.0,0.0,1.82,1.29,3.12,1.74,3.03,63.6,59.2,43.3,1.87,1.27,3.14,1.74,3.01,34.0,34.0,3060.0,47.0,1.38,147.0,102.0,0.694,15.0,10.0,9.0,12.0,35.3,2.0,2.0,0.0,0.0,34.0,1.0,4.0,0.0,51.3,0.34,4.3,0.13,188.0,543.0,34.6,1061.0,170.0,36.4,36.2,227.0,69.2,55.4,275.0,27.0,9.8,39.0,1.15,17.5,472.0,166.0,4.0,35.2,13.88,4.88,0.13,0.36,0.13,-1.6,-0.2,16586.0,20322.0,81.6,316583.0,100510.0,221.0,529.0,41.8,12621.0,14374.0,87.8,3744.0,5419.0,69.1,-3.3,342.0,1302.0,337.0,68.0,1703.0,18599.0,1723.0,493.0,33.0,2765.0,454.0,566.0,161.0,39.0,44.0,10.0,14091.0,2651.0,3580.0,5029.0,13061.0,890.0,765.0,260.0,74.0,347.0,257.0,388.0,716.0,21.06,557.0,46.0,43.0,43.0,25.0,91.0,2.68,63.0,1.0,9.0,13.0,3.0,2.0,601.0,395.0,279.0,251.0,71.0,178.0,518.0,34.4,340.0,5218.0,1654.0,31.7,1632.0,2310.0,1276.0,486.0,81.0,0.0,405.0,416.0,784.0,7.0,24361.0,1797.0,6311.0,13227.0,6413.0,977.0,22708.0,383.0,624.0,61.4,416.0,19.0,17036.0,97829.0,53226.0,19183.0,16586.0,86.5,466.0,413.0,1.0,402.0,427.0,85.0,4.0,1.0,0.0,3383.0,489.0,431.0,53.2
Eint Frankfurt,28.0,48.4,34.0,374.0,3060.0,44.0,34.0,2.0,2.0,0.0,0.0,1.29,1.0,2.29,1.24,2.24,43.4,41.9,31.8,1.28,0.94,2.21,1.23,2.17,34.0,34.0,3060.0,45.0,1.32,133.0,91.0,0.677,14.0,7.0,13.0,7.0,20.6,3.0,2.0,0.0,1.0,34.0,2.0,8.0,2.0,41.0,0.3,-2.0,-0.06,282.0,704.0,40.1,1060.0,164.0,50.8,41.5,216.0,76.9,58.9,301.0,24.0,8.0,35.0,1.03,15.2,387.0,140.0,9.0,36.2,11.38,4.12,0.11,0.3,0.11,0.6,0.1,11441.0,15528.0,73.7,248227.0,92580.0,154.0,505.0,30.5,7793.0,9495.0,82.1,3494.0,5528.0,63.2,3.2,273.0,931.0,275.0,81.0,1603.0,13789.0,1739.0,528.0,33.0,2351.0,581.0,589.0,155.0,37.0,58.0,6.0,8546.0,2638.0,4344.0,3436.0,9649.0,983.0,764.0,259.0,83.0,374.0,264.0,454.0,568.0,16.71,414.0,70.0,24.0,28.0,31.0,74.0,2.18,56.0,8.0,1.0,4.0,4.0,1.0,615.0,414.0,276.0,271.0,68.0,196.0,562.0,34.9,366.0,5946.0,1804.0,30.3,1786.0,2837.0,1323.0,561.0,108.0,5.0,453.0,586.0,831.0,6.0,19633.0,1981.0,6347.0,10022.0,4436.0,772.0,17962.0,317.0,536.0,59.1,339.0,10.0,11883.0,69935.0,37582.0,14030.0,11441.0,81.5,481.0,406.0,0.0,528.0,460.0,85.0,2.0,3.0,2.0,3698.0,572.0,617.0,48.1
Freiburg,29.0,44.5,34.0,374.0,3060.0,32.0,21.0,6.0,10.0,0.0,0.0,0.94,0.62,1.56,0.76,1.38,41.2,33.7,24.0,1.21,0.71,1.92,0.99,1.7,34.0,34.0,3060.0,56.0,1.65,149.0,101.0,0.651,8.0,12.0,14.0,9.0,26.5,5.0,4.0,0.0,1.0,34.0,1.0,9.0,4.0,46.8,0.3,-5.2,-0.15,345.0,850.0,40.6,1074.0,124.0,53.3,43.1,312.0,89.1,66.2,354.0,23.0,6.5,32.0,0.94,18.0,369.0,109.0,16.0,29.5,10.85,3.21,0.07,0.24,0.1,-9.2,-7.7,11014.0,14766.0,74.6,230802.0,86383.0,173.0,515.0,33.6,7852.0,9446.0,83.1,2989.0,4805.0,62.2,-4.0,263.0,821.0,208.0,64.0,1356.0,13081.0,1685.0,462.0,25.0,2720.0,409.0,433.0,127.0,34.0,41.0,8.0,8474.0,2307.0,3985.0,3649.0,8732.0,939.0,710.0,214.0,36.0,328.0,208.0,432.0,560.0,16.47,382.0,70.0,27.0,31.0,50.0,52.0,1.53,27.0,9.0,6.0,3.0,7.0,0.0,543.0,334.0,262.0,233.0,48.0,167.0,491.0,34.0,324.0,6041.0,1584.0,26.2,1900.0,2891.0,1250.0,522.0,125.0,1.0,397.0,524.0,1031.0,10.0,18860.0,2348.0,6984.0,8992.0,3978.0,580.0,17209.0,268.0,459.0,58.4,303.0,12.0,11395.0,65651.0,34318.0,13199.0,11014.0,83.4,443.0,366.0,3.0,446.0,436.0,40.0,8.0,5.0,4.0,3272.0,665.0,676.0,49.6
Hamburger SV,29.0,49.1,34.0,374.0,3060.0,28.0,18.0,3.0,5.0,0.0,0.0,0.82,0.53,1.35,0.74,1.26,37.1,33.4,24.9,1.09,0.73,1.82,0.98,1.72,34.0,34.0,3060.0,53.0,1.56,140.0,89.0,0.643,8.0,7.0,19.0,7.0,20.6,4.0,3.0,0.0,1.0,34.0,1.0,5.0,1.0,52.8,0.37,0.8,0.02,206.0,645.0,31.9,988.0,119.0,48.0,40.8,244.0,70.1,54.8,252.0,18.0,7.1,31.0,0.91,16.0,390.0,125.0,17.0,32.1,11.47,3.68,0.06,0.2,0.09,-9.1,-8.4,10768.0,15037.0,71.6,219771.0,83045.0,186.0,648.0,28.7,7632.0,9466.0,80.6,2950.0,4923.0,59.9,-9.9,263.0,881.0,249.0,84.0,1578.0,13124.0,1913.0,508.0,30.0,2712.0,489.0,662.0,199.0,51.0,60.0,18.0,7921.0,2767.0,4349.0,5770.0,6567.0,1049.0,890.0,242.0,59.0,351.0,267.0,502.0,558.0,16.41,378.0,69.0,41.0,28.0,41.0,45.0,1.32,26.0,3.0,4.0,8.0,3.0,1.0,644.0,394.0,334.0,250.0,60.0,194.0,620.0,31.3,426.0,5765.0,1809.0,31.4,1865.0,2659.0,1241.0,587.0,118.0,3.0,469.0,461.0,848.0,8.0,19354.0,1927.0,6147.0,9272.0,5041.0,787.0,17486.0,330.0,571.0,57.8,368.0,19.0,11339.0,69463.0,37384.0,13355.0,10768.0,80.6,512.0,498.0,3.0,489.0,470.0,62.0,3.0,4.0,1.0,3808.0,671.0,729.0,47.9
Hannover 96,26.0,47.1,34.0,374.0,3060.0,44.0,26.0,4.0,5.0,0.0,0.0,1.29,0.76,2.06,1.18,1.94,45.9,42.0,32.2,1.35,0.95,2.3,1.24,2.18,34.0,34.0,3060.0,54.0,1.59,173.0,119.0,0.699,10.0,9.0,15.0,5.0,14.7,4.0,2.0,0.0,2.0,34.0,1.0,12.0,0.0,52.9,0.3,-1.1,-0.03,291.0,633.0,46.0,946.0,168.0,49.0,38.6,278.0,60.8,45.1,329.0,13.0,4.0,23.0,0.68,15.1,434.0,140.0,17.0,32.3,12.76,4.12,0.09,0.29,0.1,-1.9,-2.0,10878.0,14887.0,73.1,221114.0,91152.0,189.0,587.0,32.2,7865.0,9645.0,81.5,2824.0,4655.0,60.7,-4.2,306.0,807.0,209.0,80.0,1565.0,13058.0,1829.0,532.0,11.0,2480.0,371.0,566.0,134.0,38.0,40.0,17.0,7661.0,2913.0,4313.0,2866.0,9265.0,1134.0,801.0,268.0,48.0,375.0,242.0,439.0,652.0,19.18,440.0,80.0,35.0,44.0,53.0,68.0,2.0,46.0,7.0,2.0,6.0,7.0,0.0,619.0,365.0,333.0,230.0,56.0,207.0,685.0,30.2,478.0,5854.0,1706.0,29.1,2060.0,2717.0,1077.0,589.0,141.0,4.0,448.0,489.0,1024.0,8.0,19325.0,2323.0,7212.0,8851.0,4395.0,667.0,17536.0,294.0,503.0,58.4,326.0,5.0,11129.0,65494.0,36139.0,13405.0,10878.0,81.1,487.0,399.0,0.0,487.0,515.0,57.0,5.0,4.0,0.0,3580.0,752.0,579.0,56.5
Hertha BSC,25.0,45.9,34.0,374.0,3060.0,43.0,32.0,4.0,5.0,0.0,0.0,1.26,0.94,2.21,1.15,2.09,39.9,36.1,27.0,1.17,0.79,1.97,1.06,1.85,34.0,34.0,3060.0,46.0,1.35,142.0,103.0,0.718,10.0,13.0,11.0,8.0,23.5,7.0,6.0,0.0,1.0,34.0,0.0,8.0,1.0,40.5,0.25,-4.5,-0.13,324.0,853.0,38.0,968.0,96.0,65.1,46.7,261.0,85.4,61.2,317.0,20.0,6.3,17.0,0.5,13.4,317.0,129.0,13.0,40.7,9.32,3.79,0.12,0.3,0.12,3.1,2.9,11673.0,15389.0,75.9,237392.0,85240.0,164.0,517.0,31.7,8372.0,9963.0,84.0,3137.0,4909.0,63.9,7.0,224.0,815.0,176.0,64.0,1331.0,13773.0,1616.0,483.0,18.0,2387.0,407.0,530.0,126.0,14.0,51.0,18.0,9026.0,2423.0,3940.0,4121.0,9051.0,893.0,672.0,198.0,45.0,315.0,240.0,408.0,477.0,14.03,326.0,60.0,33.0,23.0,35.0,65.0,1.91,40.0,8.0,6.0,5.0,6.0,0.0,588.0,358.0,293.0,247.0,48.0,159.0,446.0,35.7,287.0,6162.0,1636.0,26.5,2121.0,2937.0,1104.0,544.0,103.0,5.0,441.0,456.0,1010.0,6.0,19581.0,2184.0,6517.0,9820.0,4332.0,546.0,18017.0,290.0,514.0,56.4,323.0,13.0,12067.0,67114.0,34454.0,14044.0,11673.0,83.1,462.0,342.0,0.0,487.0,473.0,48.0,5.0,7.0,1.0,3282.0,604.0,615.0,49.5
Hoffenheim,26.0,51.3,34.0,374.0,3060.0,64.0,47.0,4.0,5.0,0.0,0.0,1.88,1.38,3.26,1.76,3.15,51.8,48.0,38.7,1.52,1.14,2.66,1.41,2.55,34.0,34.0,3060.0,48.0,1.41,146.0,104.0,0.692,15.0,10.0,9.0,10.0,29.4,4.0,3.0,1.0,0.0,34.0,1.0,9.0,3.0,41.2,0.27,-3.8,-0.11,219.0,620.0,35.3,1175.0,173.0,40.8,35.9,230.0,61.3,48.7,311.0,20.0,6.4,37.0,1.09,15.6,470.0,169.0,13.0,36.0,13.82,4.97,0.13,0.36,0.11,12.2,12.0,13767.0,17272.0,79.7,273083.0,97720.0,186.0,510.0,36.5,10258.0,11713.0,87.6,3323.0,5049.0,65.8,5.3,355.0,988.0,301.0,71.0,1643.0,15701.0,1571.0,466.0,34.0,2671.0,423.0,588.0,154.0,41.0,45.0,13.0,11147.0,2622.0,3503.0,4393.0,10911.0,723.0,645.0,291.0,65.0,307.0,284.0,398.0,733.0,21.56,554.0,55.0,51.0,38.0,34.0,99.0,2.91,70.0,4.0,9.0,8.0,7.0,1.0,617.0,390.0,291.0,259.0,67.0,194.0,559.0,34.7,365.0,6022.0,1813.0,30.1,2027.0,2890.0,1105.0,528.0,106.0,2.0,422.0,419.0,680.0,9.0,21225.0,2250.0,7480.0,10385.0,4785.0,860.0,19719.0,311.0,514.0,60.5,335.0,12.0,13985.0,81656.0,45896.0,16073.0,13767.0,85.7,457.0,439.0,0.0,538.0,445.0,83.0,5.0,4.0,2.0,3280.0,377.0,468.0,44.6
Köln,31.0,47.5,34.0,374.0,3060.0,33.0,24.0,3.0,3.0,0.0,0.0,0.97,0.71,1.68,0.88,1.59,42.2,40.0,28.7,1.24,0.85,2.09,1.18,2.02,34.0,34.0,3060.0,70.0,2.06,197.0,135.0,0.685,5.0,7.0,22.0,5.0,14.7,9.0,8.0,1.0,0.0,34.0,0.0,7.0,0.0,71.7,0.33,1.7,0.05,293.0,755.0,38.8,774.0,82.0,66.3,48.9,279.0,86.7,61.7,370.0,28.0,7.6,33.0,0.97,15.7,395.0,118.0,13.0,29.9,11.62,3.47,0.08,0.25,0.1,-9.2,-10.0,11700.0,15703.0,74.5,242126.0,94018.0,138.0,466.0,29.6,8411.0,10081.0,83.4,3151.0,5156.0,61.1,-4.7,275.0,1036.0,247.0,66.0,1522.0,14018.0,1685.0,484.0,23.0,2537.0,459.0,663.0,171.0,33.0,58.0,15.0,8918.0,2610.0,4175.0,5022.0,8361.0,982.0,656.0,145.0,69.0,327.0,262.0,445.0,577.0,16.97,426.0,52.0,33.0,31.0,33.0,62.0,1.82,37.0,9.0,4.0,3.0,7.0,2.0,604.0,389.0,315.0,240.0,49.0,184.0,552.0,33.3,368.0,5574.0,1539.0,27.6,2125.0,2480.0,969.0,547.0,126.0,6.0,421.0,503.0,839.0,4.0,19696.0,2134.0,6328.0,9868.0,4647.0,722.0,18058.0,279.0,478.0,58.4,301.0,5.0,12156.0,68726.0,36164.0,14198.0,11700.0,82.4,452.0,343.0,1.0,472.0,481.0,82.0,2.0,9.0,0.0,3496.0,588.0,628.0,48.4
