squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Amiens,26.0,46.7,38.0,418.0,3420.0,30.0,22.0,2.0,3.0,59.0,6.0,0.79,0.58,1.37,0.74,1.32,34.6,32.3,23.2,0.91,0.61,1.52,0.85,1.46,38.0,38.0,3420.0,54.0,1.42,155.0,109.0,0.69,9.0,11.0,18.0,11.0,28.9,9.0,6.0,2.0,1.0,38.0,3.0,8.0,2.0,48.7,0.28,-1.3,-0.03,303.0,813.0,37.3,827.0,85.0,63.2,48.1,322.0,90.1,62.1,362.0,24.0,6.6,21.0,0.55,14.6,393.0,115.0,21.0,29.3,10.34,3.03,0.07,0.24,0.08,-4.6,-4.3,12031.0,16181.0,74.4,242601.0,93263.0,171.0,511.0,33.5,8784.0,10551.0,83.3,3076.0,5119.0,60.1,-1.2,282.0,977.0,207.0,59.0,1526.0,14162.0,2019.0,565.0,20.0,2690.0,439.0,588.0,138.0,7.0,15.0,4.0,9815.0,2235.0,4131.0,4139.0,9525.0,921.0,908.0,179.0,54.0,401.0,268.0,442.0,595.0,15.66,443.0,54.0,31.0,22.0,44.0,52.0,1.37,39.0,3.0,4.0,2.0,3.0,1.0,657.0,454.0,323.0,258.0,76.0,206.0,700.0,29.4,494.0,6108.0,1597.0,26.1,2073.0,2827.0,1208.0,603.0,146.0,2.0,457.0,393.0,984.0,4.0,20580.0,2138.0,6623.0,10194.0,4907.0,589.0,18608.0,349.0,577.0,60.5,385.0,10.0,13031.0,68773.0,37232.0,14899.0,12031.0,80.8,521.0,442.0,3.0,523.0,526.0,67.0,1.0,7.0,2.0,3577.0,553.0,566.0,49.4
Angers,24.0,43.2,38.0,418.0,3420.0,42.0,27.0,5.0,10.0,49.0,4.0,1.11,0.71,1.82,0.97,1.68,47.7,39.8,29.6,1.25,0.78,2.03,1.05,1.83,38.0,38.0,3419.0,49.0,1.29,160.0,115.0,0.713,10.0,16.0,12.0,13.0,34.2,5.0,3.0,2.0,0.0,38.0,0.0,4.0,1.0,48.2,0.28,0.2,0.01,268.0,631.0,42.5,731.0,179.0,53.8,43.3,294.0,81.0,56.1,400.0,34.0,8.5,35.0,0.92,14.9,453.0,151.0,19.0,33.3,11.92,3.97,0.08,0.25,0.09,-5.7,-2.8,13020.0,16742.0,77.8,252877.0,98043.0,162.0,474.0,34.2,9857.0,11503.0,85.7,3001.0,4765.0,63.0,-2.6,335.0,917.0,260.0,59.0,1511.0,14910.0,1832.0,494.0,43.0,2910.0,396.0,628.0,165.0,18.0,29.0,4.0,11036.0,2035.0,3671.0,4874.0,9640.0,813.0,795.0,245.0,44.0,300.0,259.0,408.0,715.0,18.82,482.0,77.0,47.0,42.0,65.0,68.0,1.79,46.0,4.0,4.0,6.0,6.0,2.0,665.0,452.0,353.0,237.0,75.0,229.0,803.0,28.5,574.0,7461.0,1866.0,25.0,2742.0,3644.0,1075.0,593.0,119.0,2.0,474.0,395.0,882.0,5.0,21184.0,2001.0,6957.0,10493.0,5220.0,734.0,19391.0,440.0,697.0,63.1,471.0,15.0,13911.0,82365.0,46828.0,15420.0,13020.0,84.4,476.0,517.0,0.0,453.0,455.0,54.0,10.0,4.0,2.0,3323.0,453.0,408.0,52.6
Bordeaux,33.0,50.2,38.0,418.0,3420.0,34.0,26.0,5.0,6.0,74.0,5.0,0.89,0.68,1.58,0.76,1.45,40.2,35.7,27.8,1.06,0.73,1.79,0.94,1.67,38.0,38.0,3420.0,42.0,1.11,147.0,111.0,0.755,10.0,11.0,17.0,10.0,26.3,7.0,6.0,1.0,0.0,38.0,1.0,11.0,0.0,45.3,0.27,3.3,0.09,283.0,634.0,44.6,866.0,125.0,47.0,40.9,319.0,71.2,53.5,372.0,17.0,4.6,25.0,0.66,14.0,431.0,133.0,22.0,30.9,11.34,3.5,0.07,0.22,0.09,-6.2,-6.7,14650.0,18550.0,79.0,282828.0,102206.0,199.0,557.0,35.7,11131.0,12882.0,86.4,3320.0,5111.0,65.0,-1.8,330.0,1025.0,223.0,65.0,1516.0,16628.0,1922.0,533.0,29.0,3187.0,533.0,667.0,171.0,39.0,12.0,0.0,12412.0,2507.0,3631.0,4502.0,11791.0,850.0,821.0,226.0,46.0,315.0,345.0,462.0,684.0,18.0,512.0,54.0,48.0,26.0,44.0,55.0,1.45,40.0,1.0,8.0,4.0,2.0,0.0,704.0,435.0,340.0,290.0,74.0,228.0,732.0,31.1,504.0,6759.0,1757.0,26.0,2339.0,3197.0,1223.0,544.0,121.0,3.0,423.0,393.0,945.0,11.0,23095.0,2296.0,7864.0,11836.0,5100.0,647.0,21238.0,458.0,724.0,63.3,500.0,20.0,15701.0,90885.0,51119.0,17387.0,14650.0,84.3,496.0,501.0,0.0,552.0,501.0,60.0,3.0,7.0,0.0,3537.0,495.0,519.0,48.8
Caen,27.0,44.2,38.0,418.0,3420.0,29.0,17.0,4.0,4.0,79.0,6.0,0.76,0.45,1.21,0.66,1.11,31.1,28.1,18.9,0.82,0.5,1.32,0.74,1.24,38.0,38.0,3420.0,54.0,1.42,182.0,134.0,0.736,7.0,12.0,19.0,9.0,23.7,8.0,6.0,2.0,0.0,38.0,4.0,5.0,2.0,59.2,0.3,7.2,0.19,369.0,825.0,44.7,907.0,167.0,63.1,46.2,315.0,80.3,58.5,346.0,36.0,10.4,21.0,0.55,14.0,338.0,92.0,18.0,27.2,8.89,2.42,0.07,0.27,0.09,-2.1,-3.1,11523.0,15493.0,74.4,242531.0,91076.0,190.0,502.0,37.8,8130.0,9632.0,84.4,3203.0,5359.0,59.8,-1.9,213.0,741.0,150.0,63.0,1247.0,13537.0,1956.0,539.0,17.0,2688.0,639.0,654.0,125.0,8.0,15.0,3.0,8973.0,2159.0,4361.0,4170.0,8880.0,859.0,885.0,264.0,39.0,408.0,255.0,382.0,454.0,11.95,305.0,60.0,23.0,26.0,40.0,44.0,1.16,27.0,3.0,3.0,4.0,7.0,0.0,681.0,412.0,372.0,257.0,52.0,239.0,756.0,31.6,517.0,6402.0,1593.0,24.9,2489.0,2898.0,1015.0,604.0,148.0,4.0,456.0,469.0,1040.0,6.0,20079.0,2291.0,7089.0,10224.0,3913.0,533.0,18179.0,395.0,693.0,57.0,438.0,18.0,12435.0,68307.0,36364.0,14201.0,11521.0,81.1,509.0,436.0,4.0,565.0,506.0,52.0,3.0,7.0,2.0,3402.0,547.0,585.0,48.3
Dijon,26.0,47.9,38.0,418.0,3420.0,29.0,21.0,3.0,4.0,75.0,7.0,0.76,0.55,1.32,0.68,1.24,39.6,36.5,25.7,1.04,0.68,1.72,0.96,1.64,38.0,38.0,3420.0,61.0,1.61,170.0,113.0,0.659,9.0,7.0,22.0,6.0,15.8,3.0,3.0,0.0,0.0,38.0,2.0,7.0,1.0,53.8,0.31,-5.2,-0.14,325.0,717.0,45.3,968.0,175.0,47.5,40.3,329.0,78.1,56.9,344.0,41.0,11.9,30.0,0.79,15.6,451.0,140.0,24.0,31.0,11.87,3.68,0.06,0.19,0.08,-10.6,-10.5,13058.0,16945.0,77.1,269514.0,96972.0,175.0,518.0,33.8,9391.0,10970.0,85.6,3492.0,5457.0,64.0,-4.7,316.0,1024.0,280.0,75.0,1489.0,15080.0,1865.0,474.0,30.0,2806.0,537.0,614.0,165.0,16.0,21.0,14.0,10749.0,2157.0,4039.0,4680.0,9984.0,776.0,803.0,256.0,51.0,389.0,225.0,433.0,674.0,17.74,466.0,71.0,51.0,42.0,43.0,49.0,1.29,34.0,3.0,3.0,7.0,1.0,1.0,705.0,439.0,353.0,276.0,76.0,202.0,707.0,28.6,505.0,6339.0,1652.0,26.1,2082.0,2929.0,1328.0,588.0,130.0,8.0,458.0,477.0,875.0,18.0,21346.0,2215.0,7062.0,10545.0,5115.0,728.0,19554.0,418.0,624.0,67.0,453.0,12.0,13935.0,80783.0,45172.0,15969.0,13058.0,81.8,495.0,463.0,4.0,581.0,454.0,63.0,1.0,2.0,1.0,3402.0,540.0,572.0,48.6
Guingamp,30.0,44.2,38.0,418.0,3420.0,28.0,21.0,5.0,6.0,58.0,5.0,0.74,0.55,1.29,0.61,1.16,39.7,35.1,26.9,1.05,0.71,1.75,0.92,1.63,38.0,38.0,3420.0,68.0,1.79,163.0,97.0,0.601,5.0,12.0,21.0,10.0,26.3,6.0,3.0,2.0,1.0,38.0,2.0,4.0,0.0,51.4,0.3,-16.6,-0.44,291.0,740.0,39.3,727.0,123.0,64.8,48.7,301.0,89.4,64.3,299.0,24.0,8.0,18.0,0.47,13.9,417.0,111.0,17.0,26.6,10.97,2.92,0.06,0.21,0.09,-11.7,-12.1,11408.0,15709.0,72.6,232274.0,92350.0,144.0,504.0,28.6,8389.0,10269.0,81.7,2875.0,4936.0,58.2,-5.9,304.0,994.0,225.0,79.0,1596.0,13738.0,1971.0,485.0,13.0,2677.0,480.0,812.0,191.0,27.0,16.0,4.0,9039.0,2283.0,4387.0,3998.0,9040.0,1044.0,893.0,198.0,51.0,438.0,301.0,478.0,633.0,16.66,446.0,72.0,41.0,31.0,43.0,47.0,1.24,28.0,7.0,2.0,4.0,6.0,0.0,743.0,498.0,361.0,304.0,78.0,209.0,604.0,34.6,395.0,6895.0,1825.0,26.5,2250.0,3352.0,1293.0,631.0,112.0,4.0,519.0,409.0,825.0,7.0,20156.0,1950.0,6396.0,9533.0,5500.0,782.0,18225.0,444.0,729.0,60.9,494.0,15.0,12504.0,76802.0,42109.0,14048.0,11408.0,81.2,495.0,477.0,0.0,490.0,466.0,57.0,4.0,6.0,0.0,3742.0,612.0,629.0,49.3
Lille,25.0,51.4,38.0,418.0,3420.0,66.0,49.0,11.0,13.0,70.0,4.0,1.74,1.29,3.03,1.45,2.74,58.4,48.5,38.4,1.54,1.01,2.55,1.28,2.29,38.0,38.0,3420.0,34.0,0.89,118.0,91.0,0.763,22.0,9.0,7.0,15.0,39.5,10.0,6.0,2.0,2.0,38.0,1.0,4.0,0.0,35.2,0.25,2.2,0.06,199.0,593.0,33.6,825.0,199.0,46.3,40.3,270.0,78.1,59.4,319.0,37.0,11.6,24.0,0.63,14.8,487.0,182.0,27.0,37.4,12.82,4.79,0.11,0.3,0.1,7.6,6.5,14573.0,18207.0,80.0,283938.0,95780.0,194.0,534.0,36.3,10866.0,12452.0,87.3,3513.0,5221.0,67.3,10.6,374.0,1224.0,268.0,74.0,1608.0,16299.0,1908.0,557.0,40.0,2845.0,449.0,577.0,163.0,17.0,30.0,2.0,12895.0,2022.0,3290.0,5696.0,10421.0,678.0,846.0,274.0,35.0,350.0,268.0,435.0,809.0,21.29,586.0,70.0,63.0,29.0,59.0,122.0,3.21,79.0,8.0,15.0,5.0,13.0,2.0,641.0,434.0,308.0,264.0,69.0,240.0,665.0,36.1,425.0,5904.0,1596.0,27.0,1882.0,2852.0,1170.0,580.0,111.0,1.0,469.0,388.0,801.0,7.0,22599.0,2031.0,6842.0,11709.0,5694.0,780.0,20760.0,440.0,704.0,62.5,473.0,21.0,15578.0,92866.0,52640.0,16987.0,14573.0,85.8,502.0,509.0,1.0,484.0,522.0,41.0,10.0,10.0,0.0,3387.0,425.0,443.0,49.0
Lyon,25.0,60.3,38.0,418.0,3420.0,70.0,54.0,5.0,10.0,55.0,3.0,1.84,1.42,3.26,1.71,3.13,73.7,66.3,51.4,1.94,1.35,3.29,1.75,3.1,38.0,38.0,3420.0,47.0,1.24,146.0,107.0,0.712,21.0,9.0,8.0,10.0,26.3,5.0,5.0,0.0,0.0,38.0,2.0,3.0,3.0,39.4,0.25,-4.6,-0.12,172.0,383.0,44.9,903.0,184.0,30.9,32.7,262.0,39.7,40.4,282.0,17.0,6.0,19.0,0.5,15.0,665.0,244.0,48.0,36.7,17.5,6.42,0.1,0.27,0.1,-3.7,-1.3,19060.0,22496.0,84.7,367137.0,116202.0,237.0,619.0,38.3,14289.0,15963.0,89.5,4534.0,5914.0,76.7,2.6,496.0,1581.0,381.0,102.0,2072.0,20720.0,1776.0,460.0,90.0,3182.0,609.0,687.0,226.0,30.0,17.0,9.0,17034.0,2526.0,2936.0,6599.0,13910.0,690.0,746.0,259.0,86.0,313.0,422.0,450.0,1100.0,28.95,805.0,81.0,70.0,68.0,76.0,126.0,3.32,98.0,1.0,9.0,10.0,8.0,0.0,591.0,389.0,285.0,230.0,76.0,186.0,520.0,35.8,334.0,5866.0,1645.0,28.0,1791.0,2705.0,1370.0,551.0,143.0,4.0,408.0,358.0,726.0,6.0,26928.0,2102.0,7249.0,14387.0,7150.0,1122.0,25201.0,527.0,803.0,65.6,568.0,19.0,19749.0,113850.0,64918.0,21653.0,19060.0,88.0,515.0,460.0,2.0,446.0,476.0,95.0,9.0,4.0,4.0,3372.0,468.0,391.0,54.5
Marseille,24.0,55.2,38.0,418.0,3420.0,59.0,45.0,4.0,5.0,82.0,8.0,1.55,1.18,2.74,1.45,2.63,52.4,48.7,33.5,1.38,0.88,2.26,1.28,2.16,38.0,38.0,3416.0,53.0,1.4,130.0,88.0,0.669,18.0,7.0,13.0,12.0,31.6,12.0,10.0,2.0,0.0,38.0,1.0,2.0,0.0,45.5,0.28,-6.5,-0.17,207.0,535.0,38.7,967.0,168.0,42.1,38.1,241.0,53.1,45.9,253.0,19.0,7.5,27.0,0.71,14.2,532.0,168.0,19.0,31.6,14.0,4.42,0.1,0.33,0.09,6.6,6.3,16031.0,19932.0,80.4,302991.0,104493.0,201.0,608.0,33.1,12277.0,13919.0,88.2,3553.0,5405.0,65.7,11.5,386.0,1098.0,307.0,118.0,1665.0,17990.0,1942.0,503.0,36.0,3249.0,496.0,833.0,224.0,18.0,32.0,8.0,13587.0,2532.0,3813.0,5554.0,12009.0,846.0,886.0,254.0,35.0,379.0,275.0,492.0,804.0,21.16,569.0,105.0,39.0,46.0,45.0,99.0,2.61,68.0,8.0,6.0,15.0,2.0,0.0,728.0,444.0,340.0,300.0,88.0,244.0,755.0,32.3,511.0,6462.0,1860.0,28.8,2006.0,3079.0,1377.0,537.0,115.0,4.0,422.0,420.0,703.0,12.0,24253.0,2088.0,7500.0,12283.0,6025.0,876.0,22375.0,418.0,699.0,59.8,451.0,24.0,16421.0,89616.0,51009.0,18814.0,16031.0,85.2,524.0,427.0,1.0,506.0,459.0,55.0,2.0,11.0,0.0,3583.0,525.0,498.0,51.3
Monaco,42.0,49.9,38.0,418.0,3420.0,38.0,25.0,4.0,5.0,91.0,6.0,1.0,0.66,1.66,0.89,1.55,48.9,45.1,31.0,1.29,0.82,2.1,1.19,2.0,38.0,38.0,3420.0,57.0,1.5,142.0,92.0,0.634,8.0,12.0,18.0,8.0,21.1,8.0,5.0,3.0,0.0,38.0,0.0,7.0,2.0,48.2,0.3,-6.8,-0.18,168.0,430.0,39.1,741.0,166.0,37.4,36.2,255.0,60.0,47.9,327.0,24.0,7.3,11.0,0.29,13.5,475.0,151.0,25.0,31.8,12.5,3.97,0.07,0.23,0.1,-10.9,-11.1,14093.0,17930.0,78.6,280928.0,97059.0,155.0,519.0,29.9,10380.0,12120.0,85.6,3558.0,5291.0,67.2,-6.0,329.0,1102.0,283.0,84.0,1830.0,15936.0,1994.0,562.0,30.0,3060.0,537.0,756.0,189.0,36.0,29.0,11.0,11964.0,2618.0,3348.0,5146.0,10556.0,750.0,894.0,253.0,51.0,371.0,299.0,494.0,721.0,18.97,511.0,68.0,54.0,49.0,39.0,57.0,1.5,37.0,3.0,5.0,6.0,6.0,0.0,732.0,453.0,374.0,273.0,85.0,234.0,742.0,31.5,508.0,6452.0,1749.0,27.1,2092.0,3006.0,1354.0,503.0,92.0,1.0,411.0,381.0,837.0,6.0,22236.0,1971.0,6860.0,11157.0,5758.0,785.0,20300.0,401.0,664.0,60.4,433.0,19.0,14877.0,87595.0,50093.0,16786.0,14093.0,84.0,500.0,422.0,1.0,536.0,514.0,56.0,5.0,8.0,2.0,3346.0,470.0,456.0,50.8
