name,name_lower,firstinitial_lower,firstname_lower,lastname_lower,position_description,position_description_cleaned,value,birth_date,birth_year,birth_month,age,playing_country
Thibaut Courtois,thibaut courtois,t,thibaut,courtois,Goalkeeper,Goalkeeper,54000000.0,1992-05-11,1992,5,28,Belgium
Andriy Lunin,andriy lunin,a,andriy,lunin,Goalkeeper,Goalkeeper,2430000.0,1999-02-11,1999,2,21,Ukraine
Diego Altube,diego altube,d,diego,altube,Goalkeeper,Goalkeeper,90000.0,2000-02-22,2000,2,20,Spain
Raphaël Varane,raphael varane,r,raphael,varane,Centre-Back,Defender,57600000.0,1993-04-25,1993,4,27,France
Éder Militão,eder militao,e,eder,militao,Centre-Back,Defender,32400000.0,1998-01-18,1998,1,22,Brazil
Sergio Ramos,sergio ramos,s,sergio,ramos,Centre-Back,Defender,13050000.0,1986-03-30,1986,3,34,Spain
Nacho Fernández,nacho fernandez,n,nacho,fernandez,Centre-Back,Defender,10800000.0,1990-01-18,1990,1,30,Spain
Ferland Mendy,ferland mendy,f,ferland,mendy,Left-Back,Defender,36000000.0,1995-06-08,1995,6,25,France
Sergio Reguilón,sergio reguilon,s,sergio,reguilon,Left-Back,Defender,22500000.0,1996-12-16,1996,12,23,Spain
Marcelo,marcelo,m,marcelo,marcelo,Left-Back,Defender,14400000.0,1988-05-12,1988,5,32,Brazil
Achraf Hakimi,achraf hakimi,a,achraf,hakimi,Right-Back,Defender,48600000.0,1998-11-04,1998,11,21,Morocco
Daniel Carvajal,daniel carvajal,d,daniel,carvajal,Right-Back,Defender,36000000.0,1992-01-11,1992,1,28,Spain
Álvaro Odriozola,alvaro odriozola,a,alvaro,odriozola,Right-Back,Defender,14400000.0,1995-12-14,1995,12,24,Spain
Casemiro,casemiro,c,casemiro,casemiro,Defensive Midfield,Midfielder,57600000.0,1992-02-23,1992,2,28,Brazil
Federico Valverde,federico valverde,f,federico,valverde,Central Midfield,Midfielder,48600000.0,1998-07-22,1998,7,22,Uruguay
Toni Kroos,toni kroos,t,toni,kroos,Central Midfield,Midfielder,43200000.0,1990-01-04,1990,1,30,Germany
Dani Ceballos,dani ceballos,d,dani,ceballos,Central Midfield,Midfielder,28800000.0,1996-08-07,1996,8,24,Spain
Luka Modric,luka modric,l,luka,modric,Central Midfield,Midfielder,10800000.0,1985-09-09,1985,9,34,Croatia
Martin Ödegaard,martin odegaard,m,martin,odegaard,Attacking Midfield,Midfielder,40500000.0,1998-12-17,1998,12,21,Norway
Isco,isco,i,isco,isco,Attacking Midfield,Midfielder,36000000.0,1992-04-21,1992,4,28,Spain
James Rodríguez,james rodriguez,j,james,rodriguez,Attacking Midfield,Midfielder,28800000.0,1991-07-12,1991,7,29,Colombia
Brahim Díaz,brahim diaz,b,brahim,diaz,Attacking Midfield,Midfielder,12150000.0,1999-08-03,1999,8,21,Spain
Eden Hazard,eden hazard,e,eden,hazard,Left Winger,Forward,72000000.0,1991-01-07,1991,1,29,Belgium
Vinícius Júnior,vinicius junior,v,vinicius,junior,Left Winger,Forward,40500000.0,2000-07-12,2000,7,20,Brazil
Marco Asensio,marco asensio,m,marco,asensio,Left Winger,Forward,36000000.0,1996-01-21,1996,1,24,Spain
Rodrygo,rodrygo,r,rodrygo,rodrygo,Right Winger,Forward,40500000.0,2001-01-09,2001,1,19,Brazil
Gareth Bale,gareth bale,g,gareth,bale,Right Winger,Forward,25200000.0,1989-07-16,1989,7,31,Wales
Lucas Vázquez,lucas vazquez,l,lucas,vazquez,Right Winger,Forward,14400000.0,1991-07-01,1991,7,29,Spain
