name,name_lower,firstinitial_lower,firstname_lower,lastname_lower,position_description,position_description_cleaned,value,birth_date,birth_year,birth_month,age,playing_country
Thibaut Courtois,thibaut courtois,t,thibaut,courtois,Goalkeeper,Goalkeeper,54000000.0,1992-05-11,1992,5,28,Belgium
Andriy Lunin,andriy lunin,a,andriy,lunin,Goalkeeper,Goalkeeper,2430000.0,1999-02-11,1999,2,21,Ukraine
Diego Altube,diego altube,d,diego,altube,Goalkeeper,Goalkeeper,90000.0,2000-02-22,2000,2,20,Spain
Marc-André ter Stegen,marc-andre ter stegen,m,marc-andre,stegen,Goalkeeper,Goalkeeper,64800000.0,1992-04-30,1992,4,28,Germany
Neto,neto,n,neto,neto,Goalkeeper,Goalkeeper,13050000.0,1989-07-19,1989,7,31,Brazil
Iñaki Peña,inaki pena,i,inaki,pena,Goalkeeper,Goalkeeper,2070000.0,1999-03-02,1999,3,21,Spain
Jan Oblak,jan oblak,j,jan,oblak,Goalkeeper,Goalkeeper,72000000.0,1993-01-07,1993,1,27,Slovenia
Ivo Grbic,ivo grbic,i,ivo,grbic,Goalkeeper,Goalkeeper,1800000.0,1996-01-18,1996,1,24,Croatia
Tomas Vaclík,tomas vaclik,t,tomas,vaclik,Goalkeeper,Goalkeeper,13050000.0,1989-03-29,1989,3,31,Czech Republic
Sergio Rico,sergio rico,s,sergio,rico,Goalkeeper,Goalkeeper,7200000.0,1993-09-01,1993,9,26,Spain
Juan Soriano,juan soriano,j,juan,soriano,Goalkeeper,Goalkeeper,1440000.0,1997-08-23,1997,8,23,Spain
Javi Díaz,javi diaz,j,javi,diaz,Goalkeeper,Goalkeeper,360000.0,1997-05-15,1997,5,23,Spain
Álex Remiro,alex remiro,a,alex,remiro,Goalkeeper,Goalkeeper,10800000.0,1995-03-24,1995,3,25,Spain
Gerónimo Rulli,geronimo rulli,g,geronimo,rulli,Goalkeeper,Goalkeeper,7200000.0,1992-05-20,1992,5,28,Argentina
Miguel Ángel Moyá,miguel angel moya,m,miguel,moya,Goalkeeper,Goalkeeper,1080000.0,1984-04-02,1984,4,36,Spain
Jasper Cillessen,jasper cillessen,j,jasper,cillessen,Goalkeeper,Goalkeeper,10800000.0,1989-04-22,1989,4,31,Netherlands
Jaume Doménech,jaume domenech,j,jaume,domenech,Goalkeeper,Goalkeeper,5400000.0,1990-11-05,1990,11,29,Spain
Sergio Asenjo,sergio asenjo,s,sergio,asenjo,Goalkeeper,Goalkeeper,8550000.0,1989-06-28,1989,6,31,Spain
Joel Robles,joel robles,j,joel,robles,Goalkeeper,Goalkeeper,5400000.0,1990-06-17,1990,6,30,Spain
Dani Martín,dani martin,d,dani,martin,Goalkeeper,Goalkeeper,3600000.0,1998-07-08,1998,7,22,Spain
Unai Simón,unai simon,u,unai,simon,Goalkeeper,Goalkeeper,27000000.0,1997-06-11,1997,6,23,Spain
Iago Herrerín,iago herrerin,i,iago,herrerin,Goalkeeper,Goalkeeper,2520000.0,1988-01-25,1988,1,32,Spain
Jokin Ezkieta,jokin ezkieta,j,jokin,ezkieta,Goalkeeper,Goalkeeper,270000.0,1996-08-17,1996,8,24,Spain
David Soria,david soria,d,david,soria,Goalkeeper,Goalkeeper,13050000.0,1993-04-04,1993,4,27,Spain
Leandro Chichizola,leandro chichizola,l,leandro,chichizola,Goalkeeper,Goalkeeper,1080000.0,1990-03-27,1990,3,30,Argentina
Rubén Yáñez,ruben yanez,r,ruben,yanez,Goalkeeper,Goalkeeper,270000.0,1993-10-12,1993,10,26,Spain
