position_number,position_description,name,dob,nationality,value
1,Goalkeeper,Thibaut Courtois,"May 11, 1992 (28)",Belgium,£54.00m
13,Goalkeeper,Andriy Lunin,"Feb 11, 1999 (21)",Ukraine,£2.43m
26,Goalkeeper,Diego Altube,"Feb 22, 2000 (20)",Spain,£90Th.
5,Centre-Back,Raphaël Varane,"Apr 25, 1993 (27)",France / Martinique,£57.60m
3,Centre-Back,Éder Militão,"Jan 18, 1998 (22)",Brazil,£32.40m
4,Centre-Back,Sergio Ramos,"Mar 30, 1986 (34)",Spain,£13.05m
6,Centre-Back,Nacho Fernández,"Jan 18, 1990 (30)",Spain,£10.80m
23,Left-Back,Ferland Mendy,"Jun 8, 1995 (25)",France / Senegal,£36.00m
-,Left-Back,Sergio Reguilón,"Dec 16, 1996 (23)",Spain,£22.50m
12,Left-Back,Marcelo,"May 12, 1988 (32)",Brazil / Spain,£14.40m
-,Right-Back,Achraf Hakimi,"Nov 4, 1998 (21)",Morocco / Spain,£48.60m
2,Right-Back,Daniel Carvajal,"Jan 11, 1992 (28)",Spain,£36.00m
-,Right-Back,Álvaro Odriozola,"Dec 14, 1995 (24)",Spain,£14.40m
14,Defensive Midfield,Casemiro,"Feb 23, 1992 (28)",Brazil / Spain,£57.60m
15,Central Midfield,Federico Valverde,"Jul 22, 1998 (22)",Uruguay / Spain,£48.60m
8,Central Midfield,Toni Kroos,"Jan 4, 1990 (30)",Germany,£43.20m
-,Central Midfield,Dani Ceballos,"Aug 7, 1996 (24)",Spain,£28.80m
10,Central Midfield,Luka Modric,"Sep 9, 1985 (34)",Croatia,£10.80m
-,Attacking Midfield,Martin Ödegaard,"Dec 17, 1998 (21)",Norway,£40.50m
22,Attacking Midfield,Isco,"Apr 21, 1992 (28)",Spain,£36.00m
16,Attacking Midfield,James Rodríguez,"Jul 12, 1991 (29)",Colombia / Spain,£28.80m
21,Attacking Midfield,Brahim Díaz,"Aug 3, 1999 (21)",Spain / Morocco,£12.15m
7,Left Winger,Eden Hazard,"Jan 7, 1991 (29)",Belgium,£72.00m
25,Left Winger,Vinícius Júnior,"Jul 12, 2000 (20)",Brazil,£40.50m
20,Left Winger,Marco Asensio,"Jan 21, 1996 (24)",Spain / Netherlands,£36.00m
27,Right Winger,Rodrygo,"Jan 9, 2001 (19)",Brazil,£40.50m
11,Right Winger,Gareth Bale,"Jul 16, 1989 (31)",Wales,£25.20m
17,Right Winger,Lucas Vázquez,"Jul 1, 1991 (29)",Spain,£14.40m
-,Right Winger,Alberto Soro,"Mar 9, 1999 (21)",Spain,£2.43m
9,Centre-Forward,Karim Benzema,"Dec 19, 1987 (32)",France / Algeria,£28.80m
18,Centre-Forward,Luka Jovic,"Dec 23, 1997 (22)",Serbia,£28.80m
24,Centre-Forward,Mariano Díaz,"Aug 1, 1993 (27)",Spain / Dominican Republic,£11.70m
-,Centre-Forward,Borja Mayoral,"Apr 5, 1997 (23)",Spain,£9.00m
1,Goalkeeper,Marc-André ter Stegen,"Apr 30, 1992 (28)",Germany,£64.80m
13,Goalkeeper,Neto,"Jul 19, 1989 (31)",Brazil / Italy,£13.05m
26,Goalkeeper,Iñaki Peña,"Mar 2, 1999 (21)",Spain,£2.07m
15,Centre-Back,Clément Lenglet,"Jun 17, 1995 (25)",France,£43.20m
23,Centre-Back,Samuel Umtiti,"Nov 14, 1993 (26)",France / Cameroon,£28.80m
3,Centre-Back,Gerard Piqué,"Feb 2, 1987 (33)",Spain,£18.00m
-,Centre-Back,Jean-Clair Todibo,"Dec 30, 1999 (20)",France / French Guiana,£12.60m
33,Centre-Back,Ronald Araújo,"Mar 7, 1999 (21)",Uruguay,£9.00m
