TRUE,eventId,subEventName,tags,playerId,positions,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,status,roundId,gameweek,seasonId,dateutc,winner,venue,wyId_x,label,date,referees,duration,competitionId,league_name,wyId_y,country,wyId_x.1,fullName,teamName,wyId_y.1,fixture,score_home_away,team_home,team_away,goals_home,goals_away,date_isolated,time_isolated,date_time_isolated,date_time_timestamp,date_date,time_time,full_fixture_date,teamIdNext,teamNameNext,isPossessionRetained,fullNameNext,player2player,start,end,y_start,x_start,y_end,x_end
751436,8,Simple pass,[{'id': 1801}],134351,"[{'y': 50, 'x': 50}, {'y': 57, 'x': 40}]",2499930,Pass,1659,1H,1.914449,85,218431699,Played,4405654,22,181150,01/01/2018 12:30,0,The American Express Community Stadium,2499930,"Brighton & Hove Albion - AFC Bournemouth, 2 - 2","January 1, 2018 at 1:30:00 PM GMT+1","[{'refereeId': 384965, 'role': 'referee'}, {'refereeId': 385011, 'role': 'firstAssistant'}, {'refereeId': 381877, 'role': 'secondAssistant'}, {'refereeId': 385704, 'role': 'fourthOfficial'}]",Regular,364,Premier League,364,England,134351,Benik Afobe,AFC Bournemouth,1659,Brighton & Hove Albion - AFC Bournemouth,02-Feb,Brighton & Hove Albion,AFC Bournemouth,2,2,"January 1, 2018",1:30:00 PM GMT+1,"January 1, 2018 1:30:00 PM",01/01/2018 13:30,01/01/2018,13:30:00,01-01-2018 Brighton & Hove Albion 2  v  2 AFC Bournemouth,1659,AFC Bournemouth,TRUE,Lewis Cook,Benik Afobe - Lewis Cook,"{'y': 50, 'x': 50}","{'y': 57, 'x': 40}",50,50,57,40
759304,8,Simple pass,[{'id': 1801}],302518,"[{'y': 57, 'x': 40}, {'y': 12, 'x': 33}]",2499930,Pass,1659,1H,2.78423,85,218431700,Played,4405654,22,181150,01/01/2018 12:30,0,The American Express Community Stadium,2499930,"Brighton & Hove Albion - AFC Bournemouth, 2 - 2","January 1, 2018 at 1:30:00 PM GMT+1","[{'refereeId': 384965, 'role': 'referee'}, {'refereeId': 385011, 'role': 'firstAssistant'}, {'refereeId': 381877, 'role': 'secondAssistant'}, {'refereeId': 385704, 'role': 'fourthOfficial'}]",Regular,364,Premier League,364,England,302518,Lewis Cook,AFC Bournemouth,1659,Brighton & Hove Albion - AFC Bournemouth,02-Feb,Brighton & Hove Albion,AFC Bournemouth,2,2,"January 1, 2018",1:30:00 PM GMT+1,"January 1, 2018 1:30:00 PM",01/01/2018 13:30,01/01/2018,13:30:00,01-01-2018 Brighton & Hove Albion 2  v  2 AFC Bournemouth,1659,AFC Bournemouth,TRUE,Charlie Daniels,Lewis Cook - Charlie Daniels,"{'y': 57, 'x': 40}","{'y': 12, 'x': 33}",57,40,12,33
736890,8,Simple pass,[{'id': 1801}],9285,"[{'y': 12, 'x': 33}, {'y': 4, 'x': 38}]",2499930,Pass,1659,1H,5.040106,85,218431701,Played,4405654,22,181150,01/01/2018 12:30,0,The American Express Community Stadium,2499930,"Brighton & Hove Albion - AFC Bournemouth, 2 - 2","January 1, 2018 at 1:30:00 PM GMT+1","[{'refereeId': 384965, 'role': 'referee'}, {'refereeId': 385011, 'role': 'firstAssistant'}, {'refereeId': 381877, 'role': 'secondAssistant'}, {'refereeId': 385704, 'role': 'fourthOfficial'}]",Regular,364,Premier League,364,England,9285,Charlie Daniels,AFC Bournemouth,1659,Brighton & Hove Albion - AFC Bournemouth,02-Feb,Brighton & Hove Albion,AFC Bournemouth,2,2,"January 1, 2018",1:30:00 PM GMT+1,"January 1, 2018 1:30:00 PM",01/01/2018 13:30,01/01/2018,13:30:00,01-01-2018 Brighton & Hove Albion 2  v  2 AFC Bournemouth,1659,AFC Bournemouth,TRUE,Marc Pugh,Charlie Daniels - Marc Pugh,"{'y': 12, 'x': 33}","{'y': 4, 'x': 38}",12,33,4,38
750888,8,Simple pass,[{'id': 1801}],9293,"[{'y': 4, 'x': 38}, {'y': 26, 'x': 41}]",2499930,Pass,1659,1H,6.544869,85,218431702,Played,4405654,22,181150,01/01/2018 12:30,0,The American Express Community Stadium,2499930,"Brighton & Hove Albion - AFC Bournemouth, 2 - 2","January 1, 2018 at 1:30:00 PM GMT+1","[{'refereeId': 384965, 'role': 'referee'}, {'refereeId': 385011, 'role': 'firstAssistant'}, {'refereeId': 381877, 'role': 'secondAssistant'}, {'refereeId': 385704, 'role': 'fourthOfficial'}]",Regular,364,Premier League,364,England,9293,Marc Pugh,AFC Bournemouth,1659,Brighton & Hove Albion - AFC Bournemouth,02-Feb,Brighton & Hove Albion,AFC Bournemouth,2,2,"January 1, 2018",1:30:00 PM GMT+1,"January 1, 2018 1:30:00 PM",01/01/2018 13:30,01/01/2018,13:30:00,01-01-2018 Brighton & Hove Albion 2  v  2 AFC Bournemouth,1659,AFC Bournemouth,TRUE,Harry Arter,Marc Pugh - Harry Arter,"{'y': 4, 'x': 38}","{'y': 26, 'x': 41}",4,38,26,41
738894,8,Simple pass,[{'id': 1801}],9283,"[{'y': 26, 'x': 41}, {'y': 10, 'x': 53}]",2499930,Pass,1659,1H,8.245745,85,218431703,Played,4405654,22,181150,01/01/2018 12:30,0,The American Express Community Stadium,2499930,"Brighton & Hove Albion - AFC Bournemouth, 2 - 2","January 1, 2018 at 1:30:00 PM GMT+1","[{'refereeId': 384965, 'role': 'referee'}, {'refereeId': 385011, 'role': 'firstAssistant'}, {'refereeId': 381877, 'role': 'secondAssistant'}, {'refereeId': 385704, 'role': 'fourthOfficial'}]",Regular,364,Premier League,364,England,9283,Harry Arter,AFC Bournemouth,1659,Brighton & Hove Albion - AFC Bournemouth,02-Feb,Brighton & Hove Albion,AFC Bournemouth,2,2,"January 1, 2018",1:30:00 PM GMT+1,"January 1, 2018 1:30:00 PM",01/01/2018 13:30,01/01/2018,13:30:00,01-01-2018 Brighton & Hove Albion 2  v  2 AFC Bournemouth,1659,AFC Bournemouth,TRUE,Marc Pugh,Harry Arter - Marc Pugh,"{'y': 26, 'x': 41}","{'y': 10, 'x': 53}",26,41,10,53
750889,8,Simple pass,[{'id': 1802}],9293,"[{'y': 10, 'x': 53}, {'y': 11, 'x': 85}]",2499930,Pass,1659,1H,9.70005,85,218431704,Played,4405654,22,181150,01/01/2018 12:30,0,The American Express Community Stadium,2499930,"Brighton & Hove Albion - AFC Bournemouth, 2 - 2","January 1, 2018 at 1:30:00 PM GMT+1","[{'refereeId': 384965, 'role': 'referee'}, {'refereeId': 385011, 'role': 'firstAssistant'}, {'refereeId': 381877, 'role': 'secondAssistant'}, {'refereeId': 385704, 'role': 'fourthOfficial'}]",Regular,364,Premier League,364,England,9293,Marc Pugh,AFC Bournemouth,1659,Brighton & Hove Albion - AFC Bournemouth,02-Feb,Brighton & Hove Albion,AFC Bournemouth,2,2,"January 1, 2018",1:30:00 PM GMT+1,"January 1, 2018 1:30:00 PM",01/01/2018 13:30,01/01/2018,13:30:00,01-01-2018 Brighton & Hove Albion 2  v  2 AFC Bournemouth,1651,Brighton & Hove Albion,FALSE,Shane Duffy,Marc Pugh - Shane Duffy,"{'y': 10, 'x': 53}","{'y': 11, 'x': 85}",10,53,11,85
215299,8,High pass,[{'id': 1802}],8242,"[{'y': 89, 'x': 15}, {'y': 82, 'x': 39}]",2499930,Pass,1651,1H,13.840955,83,218431729,Played,4405654,22,181150,01/01/2018 12:30,0,The American Express Community Stadium,2499930,"Brighton & Hove Albion - AFC Bournemouth, 2 - 2","January 1, 2018 at 1:30:00 PM GMT+1","[{'refereeId': 384965, 'role': 'referee'}, {'refereeId': 385011, 'role': 'firstAssistant'}, {'refereeId': 381877, 'role': 'secondAssistant'}, {'refereeId': 385704, 'role': 'fourthOfficial'}]",Regular,364,Premier League,364,England,8242,Shane Duffy,Brighton & Hove Albion,1651,Brighton & Hove Albion - AFC Bournemouth,02-Feb,Brighton & Hove Albion,AFC Bournemouth,2,2,"January 1, 2018",1:30:00 PM GMT+1,"January 1, 2018 1:30:00 PM",01/01/2018 13:30,01/01/2018,13:30:00,01-01-2018 Brighton & Hove Albion 2  v  2 AFC Bournemouth,1659,AFC Bournemouth,FALSE,Harry Arter,Shane Duffy - Harry Arter,"{'y': 89, 'x': 15}","{'y': 82, 'x': 39}",89,15,82,39
738895,8,Simple pass,"[{'id': 1401}, {'id': 1802}]",9283,"[{'y': 18, 'x': 61}, {'y': 17, 'x': 60}]",2499930,Pass,1659,1H,15.56515,85,218431705,Played,4405654,22,181150,01/01/2018 12:30,0,The American Express Community Stadium,2499930,"Brighton & Hove Albion - AFC Bournemouth, 2 - 2","January 1, 2018 at 1:30:00 PM GMT+1","[{'refereeId': 384965, 'role': 'referee'}, {'refereeId': 385011, 'role': 'firstAssistant'}, {'refereeId': 381877, 'role': 'secondAssistant'}, {'refereeId': 385704, 'role': 'fourthOfficial'}]",Regular,364,Premier League,364,England,9283,Harry Arter,AFC Bournemouth,1659,Brighton & Hove Albion - AFC Bournemouth,02-Feb,Brighton & Hove Albion,AFC Bournemouth,2,2,"January 1, 2018",1:30:00 PM GMT+1,"January 1, 2018 1:30:00 PM",01/01/2018 13:30,01/01/2018,13:30:00,01-01-2018 Brighton & Hove Albion 2  v  2 AFC Bournemouth,1651,Brighton & Hove Albion,FALSE,Anthony Knockaert,Harry Arter - Anthony Knockaert,"{'y': 18, 'x': 61}","{'y': 17, 'x': 60}",18,61,17,60
221424,7,Touch,[{'id': 1401}],25950,"[{'y': 83, 'x': 40}, {'y': 87, 'x': 42}]",2499930,Others on the ball,1651,1H,16.115173,72,218431746,Played,4405654,22,181150,01/01/2018 12:30,0,The American Express Community Stadium,2499930,"Brighton & Hove Albion - AFC Bournemouth, 2 - 2","January 1, 2018 at 1:30:00 PM GMT+1","[{'refereeId': 384965, 'role': 'referee'}, {'refereeId': 385011, 'role': 'firstAssistant'}, {'refereeId': 381877, 'role': 'secondAssistant'}, {'refereeId': 385704, 'role': 'fourthOfficial'}]",Regular,364,Premier League,364,England,25950,Anthony Knockaert,Brighton & Hove Albion,1651,Brighton & Hove Albion - AFC Bournemouth,02-Feb,Brighton & Hove Albion,AFC Bournemouth,2,2,"January 1, 2018",1:30:00 PM GMT+1,"January 1, 2018 1:30:00 PM",01/01/2018 13:30,01/01/2018,13:30:00,01-01-2018 Brighton & Hove Albion 2  v  2 AFC Bournemouth,1659,AFC Bournemouth,FALSE,Harry Arter,Anthony Knockaert - Harry Arter,"{'y': 83, 'x': 40}","{'y': 87, 'x': 42}",83,40,87,42
738896,7,Touch,[],9283,"[{'y': 18, 'x': 59}, {'y': 13, 'x': 58}]",2499930,Others on the ball,1659,1H,16.999631,72,218431706,Played,4405654,22,181150,01/01/2018 12:30,0,The American Express Community Stadium,2499930,"Brighton & Hove Albion - AFC Bournemouth, 2 - 2","January 1, 2018 at 1:30:00 PM GMT+1","[{'refereeId': 384965, 'role': 'referee'}, {'refereeId': 385011, 'role': 'firstAssistant'}, {'refereeId': 381877, 'role': 'secondAssistant'}, {'refereeId': 385704, 'role': 'fourthOfficial'}]",Regular,364,Premier League,364,England,9283,Harry Arter,AFC Bournemouth,1659,Brighton & Hove Albion - AFC Bournemouth,02-Feb,Brighton & Hove Albion,AFC Bournemouth,2,2,"January 1, 2018",1:30:00 PM GMT+1,"January 1, 2018 1:30:00 PM",01/01/2018 13:30,01/01/2018,13:30:00,01-01-2018 Brighton & Hove Albion 2  v  2 AFC Bournemouth,1651,Brighton & Hove Albion,FALSE,Anthony Knockaert,Harry Arter - Anthony Knockaert,"{'y': 18, 'x': 59}","{'y': 13, 'x': 58}",18,59,13,58
221425,8,Simple pass,[{'id': 1802}],25950,"[{'y': 87, 'x': 42}, {'y': 84, 'x': 50}]",2499930,Pass,1651,1H,17.104953,85,218431747,Played,4405654,22,181150,01/01/2018 12:30,0,The American Express Community Stadium,2499930,"Brighton & Hove Albion - AFC Bournemouth, 2 - 2","January 1, 2018 at 1:30:00 PM GMT+1","[{'refereeId': 384965, 'role': 'referee'}, {'refereeId': 385011, 'role': 'firstAssistant'}, {'refereeId': 381877, 'role': 'secondAssistant'}, {'refereeId': 385704, 'role': 'fourthOfficial'}]",Regular,364,Premier League,364,England,25950,Anthony Knockaert,Brighton & Hove Albion,1651,Brighton & Hove Albion - AFC Bournemouth,02-Feb,Brighton & Hove Albion,AFC Bournemouth,2,2,"January 1, 2018",1:30:00 PM GMT+1,"January 1, 2018 1:30:00 PM",01/01/2018 13:30,01/01/2018,13:30:00,01-01-2018 Brighton & Hove Albion 2  v  2 AFC Bournemouth,1659,AFC Bournemouth,FALSE,Charlie Daniels,Anthony Knockaert - Charlie Daniels,"{'y': 87, 'x': 42}","{'y': 84, 'x': 50}",87,42,84,50
736891,8,Simple pass,[{'id': 1801}],9285,"[{'y': 16, 'x': 50}, {'y': 28, 'x': 32}]",2499930,Pass,1659,1H,18.498573,85,218431707,Played,4405654,22,181150,01/01/2018 12:30,0,The American Express Community Stadium,2499930,"Brighton & Hove Albion - AFC Bournemouth, 2 - 2","January 1, 2018 at 1:30:00 PM GMT+1","[{'refereeId': 384965, 'role': 'referee'}, {'refereeId': 385011, 'role': 'firstAssistant'}, {'refereeId': 381877, 'role': 'secondAssistant'}, {'refereeId': 385704, 'role': 'fourthOfficial'}]",Regular,364,Premier League,364,England,9285,Charlie Daniels,AFC Bournemouth,1659,Brighton & Hove Albion - AFC Bournemouth,02-Feb,Brighton & Hove Albion,AFC Bournemouth,2,2,"January 1, 2018",1:30:00 PM GMT+1,"January 1, 2018 1:30:00 PM",01/01/2018 13:30,01/01/2018,13:30:00,01-01-2018 Brighton & Hove Albion 2  v  2 AFC Bournemouth,1659,AFC Bournemouth,TRUE,Steve Cook,Charlie Daniels - Steve Cook,"{'y': 16, 'x': 50}","{'y': 28, 'x': 32}",16,50,28,32
741337,8,Simple pass,[{'id': 1801}],9277,"[{'y': 28, 'x': 32}, {'y': 68, 'x': 32}]",2499930,Pass,1659,1H,21.215471,85,218431708,Played,4405654,22,181150,01/01/2018 12:30,0,The American Express Community Stadium,2499930,"Brighton & Hove Albion - AFC Bournemouth, 2 - 2","January 1, 2018 at 1:30:00 PM GMT+1","[{'refereeId': 384965, 'role': 'referee'}, {'refereeId': 385011, 'role': 'firstAssistant'}, {'refereeId': 381877, 'role': 'secondAssistant'}, {'refereeId': 385704, 'role': 'fourthOfficial'}]",Regular,364,Premier League,364,England,9277,Steve Cook,AFC Bournemouth,1659,Brighton & Hove Albion - AFC Bournemouth,02-Feb,Brighton & Hove Albion,AFC Bournemouth,2,2,"January 1, 2018",1:30:00 PM GMT+1,"January 1, 2018 1:30:00 PM",01/01/2018 13:30,01/01/2018,13:30:00,01-01-2018 Brighton & Hove Albion 2  v  2 AFC Bournemouth,1659,AFC Bournemouth,TRUE,Simon Francis,Steve Cook - Simon Francis,"{'y': 28, 'x': 32}","{'y': 68, 'x': 32}",28,32,68,32
